Seccion,Numero,Codigo
CAN,9,CAN9
CAN,10,CAN10
CAN,11,CAN11
CAN,12,CAN12
CAN,13,CAN13
CAN,14,CAN14
CAN,15,CAN15
CAN,16,CAN16
CAN,17,CAN17
CAN,18,CAN18
CAN,19,CAN19
CAN,20,CAN20
BIH,1,BIH1
BIH,2,BIH2
BIH,3,BIH3
BIH,4,BIH4
BIH,5,BIH5
BIH,6,BIH6
BIH,7,BIH7
BIH,8,BIH8
BIH,9,BIH9
BIH,10,BIH10
BIH,11,BIH11
BIH,12,BIH12
BIH,13,BIH13
BIH,14,BIH14
BIH,15,BIH15
BIH,16,BIH16
BIH,17,BIH17
BIH,18,BIH18
BIH,19,BIH19
BIH,20,BIH20
QAT,1,QAT1
QAT,2,QAT2
QAT,3,QAT3
QAT,4,QAT4
QAT,5,QAT5
QAT,6,QAT6
QAT,7,QAT7
QAT,8,QAT8
QAT,9,QAT9
QAT,10,QAT10
QAT,11,QAT11
QAT,12,QAT12
QAT,13,QAT13
QAT,14,QAT14
QAT,15,QAT15
QAT,16,QAT16
QAT,17,QAT17
QAT,18,QAT18
QAT,19,QAT19
QAT,20,QAT20
SUI,1,SUI1
SUI,2,SUI2
SUI,3,SUI3
SUI,4,SUI4
SUI,5,SUI5
SUI,6,SUI6
SUI,7,SUI7
SUI,8,SUI8
SUI,9,SUI9
SUI,10,SUI10
SUI,11,SUI11
SUI,12,SUI12
SUI,13,SUI13
SUI,14,SUI14
SUI,15,SUI15
SUI,16,SUI16
SUI,17,SUI17
SUI,18,SUI18
SUI,19,SUI19
SUI,20,SUI20
BRA,1,BRA1
BRA,2,BRA2
BRA,3,BRA3
BRA,4,BRA4
BRA,5,BRA5
BRA,6,BRA6
BRA,7,BRA7
BRA,8,BRA8
BRA,9,BRA9
BRA,10,BRA10
BRA,11,BRA11
BRA,12,BRA12
BRA,13,BRA13
BRA,14,BRA14
BRA,15,BRA15
BRA,16,BRA16
BRA,17,BRA17
BRA,18,BRA18
BRA,19,BRA19
BRA,20,BRA20
MAR,1,MAR1
MAR,2,MAR2
MAR,3,MAR3
MAR,4,MAR4
MAR,5,MAR5
MAR,6,MAR6
MAR,7,MAR7
MAR,8,MAR8
MAR,9,MAR9
MAR,10,MAR10
MAR,11,MAR11
MAR,12,MAR12
MAR,13,MAR13
MAR,14,MAR14
MAR,15,MAR15
MAR,16,MAR16
MAR,17,MAR17
MAR,18,MAR18
MAR,19,MAR19
MAR,20,MAR20
HAI,1,HAI1
HAI,2,HAI2
HAI,3,HAI3
HAI,4,HAI4
HAI,5,HAI5
HAI,6,HAI6
HAI,7,HAI7
HAI,8,HAI8
HAI,9,HAI9
HAI,10,HAI10
HAI,11,HAI11
HAI,12,HAI12
HAI,13,HAI13
HAI,14,HAI14
HAI,15,HAI15
HAI,16,HAI16
HAI,17,HAI17
HAI,18,HAI18
HAI,19,HAI19
HAI,20,HAI20
SCO,1,SCO1
SCO,2,SCO2
SCO,3,SCO3
SCO,4,SCO4
SCO,5,SCO5
SCO,6,SCO6
SCO,7,SCO7
SCO,8,SCO8
SCO,9,SCO9
SCO,10,SCO10
SCO,11,SCO11
SCO,12,SCO12
SCO,13,SCO13
SCO,14,SCO14
SCO,15,SCO15
SCO,16,SCO16
SCO,17,SCO17
SCO,18,SCO18
SCO,19,SCO19
SCO,20,SCO20
USA,1,USA1
USA,2,USA2
USA,3,USA3
USA,4,USA4
USA,5,USA5
USA,6,USA6
USA,7,USA7
USA,8,USA8
USA,9,USA9
USA,10,USA10
USA,11,USA11
USA,12,USA12
USA,13,USA13
USA,14,USA14
USA,15,USA15
USA,16,USA16
USA,17,USA17
USA,18,USA18
USA,19,USA19
USA,20,USA20
PAR,1,PAR1
PAR,2,PAR2
PAR,3,PAR3
PAR,4,PAR4
PAR,5,PAR5
PAR,6,PAR6
PAR,7,PAR7
PAR,8,PAR8
PAR,9,PAR9
PAR,10,PAR10
PAR,11,PAR11
PAR,12,PAR12
PAR,13,PAR13
PAR,14,PAR14
PAR,15,PAR15
PAR,16,PAR16
PAR,17,PAR17
PAR,18,PAR18
PAR,19,PAR19
PAR,20,PAR20
AUS,1,AUS1
AUS,2,AUS2
AUS,3,AUS3
AUS,4,AUS4
AUS,5,AUS5
AUS,6,AUS6
AUS,7,AUS7
AUS,8,AUS8
AUS,9,AUS9
AUS,10,AUS10
AUS,11,AUS11
AUS,12,AUS12
AUS,13,AUS13
AUS,14,AUS14
AUS,15,AUS15
AUS,16,AUS16
AUS,17,AUS17
AUS,18,AUS18
AUS,19,AUS19
AUS,20,AUS20
TUR,1,TUR1
TUR,2,TUR2
TUR,3,TUR3
TUR,4,TUR4
TUR,5,TUR5
TUR,6,TUR6
TUR,7,TUR7
TUR,8,TUR8
TUR,9,TUR9
TUR,10,TUR10
TUR,11,TUR11
TUR,12,TUR12
TUR,13,TUR13
TUR,14,TUR14
TUR,15,TUR15
TUR,16,TUR16
TUR,17,TUR17
TUR,18,TUR18
TUR,19,TUR19
TUR,20,TUR20
GER,1,GER1
GER,2,GER2
GER,3,GER3
GER,4,GER4
GER,5,GER5
GER,6,GER6
GER,7,GER7
GER,8,GER8
GER,9,GER9
GER,10,GER10
GER,11,GER11
GER,12,GER12
GER,13,GER13
GER,14,GER14
GER,15,GER15
GER,16,GER16
GER,17,GER17
GER,18,GER18
GER,19,GER19
GER,20,GER20
CUW,1,CUW1
CUW,2,CUW2
CUW,3,CUW3
CUW,4,CUW4
CUW,5,CUW5
CUW,6,CUW6
CUW,7,CUW7
CUW,8,CUW8
CUW,9,CUW9
CUW,10,CUW10
CUW,11,CUW11
CUW,12,CUW12
CUW,13,CUW13
CUW,14,CUW14
CUW,15,CUW15
CUW,16,CUW16
CUW,17,CUW17
CUW,18,CUW18
CUW,19,CUW19
CUW,20,CUW20
CIV,1,CIV1
CIV,2,CIV2
CIV,3,CIV3
CIV,4,CIV4
CIV,5,CIV5
CIV,6,CIV6
CIV,7,CIV7
CIV,8,CIV8
CIV,9,CIV9
CIV,10,CIV10
CIV,11,CIV11
CIV,12,CIV12
CIV,13,CIV13
CIV,14,CIV14
CIV,15,CIV15
CIV,16,CIV16
CIV,17,CIV17
CIV,18,CIV18
CIV,19,CIV19
CIV,20,CIV20
ECU,1,ECU1
ECU,2,ECU2
ECU,3,ECU3
ECU,4,ECU4
ECU,5,ECU5
ECU,6,ECU6
ECU,7,ECU7
ECU,8,ECU8
ECU,9,ECU9
ECU,10,ECU10
ECU,11,ECU11
ECU,12,ECU12
ECU,13,ECU13
ECU,14,ECU14
ECU,15,ECU15
ECU,16,ECU16
ECU,17,ECU17
ECU,18,ECU18
ECU,19,ECU19
ECU,20,ECU20
NED,1,NED1
NED,2,NED2
NED,3,NED3
NED,4,NED4
NED,5,NED5
NED,6,NED6
NED,7,NED7
NED,8,NED8
NED,9,NED9
NED,10,NED10
NED,11,NED11
NED,12,NED12
NED,13,NED13
NED,14,NED14
NED,15,NED15
NED,16,NED16
NED,17,NED17
NED,18,NED18
NED,19,NED19
NED,20,NED20
JPN,1,JPN1
JPN,2,JPN2
JPN,3,JPN3
JPN,4,JPN4
JPN,5,JPN5
JPN,6,JPN6
JPN,7,JPN7
JPN,8,JPN8
JPN,9,JPN9
JPN,10,JPN10
JPN,11,JPN11
JPN,12,JPN12
JPN,13,JPN13
JPN,14,JPN14
JPN,15,JPN15
JPN,16,JPN16
JPN,17,JPN17
JPN,18,JPN18
JPN,19,JPN19
JPN,20,JPN20
SWE,1,SWE1
SWE,2,SWE2
SWE,3,SWE3
SWE,4,SWE4
SWE,5,SWE5
SWE,6,SWE6
SWE,7,SWE7
SWE,8,SWE8
SWE,9,SWE9
SWE,10,SWE10
SWE,11,SWE11
SWE,12,SWE12
SWE,13,SWE13
SWE,14,SWE14
SWE,15,SWE15
SWE,16,SWE16
SWE,17,SWE17
SWE,18,SWE18
SWE,19,SWE19
SWE,20,SWE20
TUN,1,TUN1
TUN,2,TUN2
TUN,3,TUN3
TUN,4,TUN4
TUN,5,TUN5
TUN,6,TUN6
TUN,7,TUN7
TUN,8,TUN8
TUN,9,TUN9
TUN,10,TUN10
TUN,11,TUN11
TUN,12,TUN12
TUN,13,TUN13
TUN,14,TUN14
TUN,15,TUN15
TUN,16,TUN16
TUN,17,TUN17
TUN,18,TUN18
TUN,19,TUN19
TUN,20,TUN20
BEL,1,BEL1
BEL,2,BEL2
BEL,3,BEL3
BEL,4,BEL4
BEL,5,BEL5
BEL,6,BEL6
BEL,7,BEL7
BEL,8,BEL8
BEL,9,BEL9
BEL,10,BEL10
BEL,11,BEL11
BEL,12,BEL12
BEL,13,BEL13
BEL,14,BEL14
BEL,15,BEL15
BEL,16,BEL16
BEL,17,BEL17
BEL,18,BEL18
BEL,19,BEL19
BEL,20,BEL20
EGY,1,EGY1
EGY,2,EGY2
EGY,3,EGY3
EGY,4,EGY4
EGY,5,EGY5
EGY,6,EGY6
EGY,7,EGY7
EGY,8,EGY8
EGY,9,EGY9
EGY,10,EGY10
EGY,11,EGY11
EGY,12,EGY12
EGY,13,EGY13
EGY,14,EGY14
EGY,15,EGY15
EGY,16,EGY16
EGY,17,EGY17
EGY,18,EGY18
EGY,19,EGY19
EGY,20,EGY20
IRN,1,IRN1
IRN,2,IRN2
IRN,3,IRN3
IRN,4,IRN4
IRN,5,IRN5
IRN,6,IRN6
IRN,7,IRN7
IRN,8,IRN8
IRN,9,IRN9
IRN,10,IRN10
IRN,11,IRN11
IRN,12,IRN12
IRN,13,IRN13
IRN,14,IRN14
IRN,15,IRN15
IRN,16,IRN16
IRN,17,IRN17
IRN,18,IRN18
IRN,19,IRN19
IRN,20,IRN20
NZL,1,NZL1
NZL,2,NZL2
NZL,3,NZL3
NZL,4,NZL4
NZL,5,NZLS
NZL,6,NZL6
NZL,7,NZL7
NZL,8,NZL8
NZL,9,NZL9
NZL,10,NZL10
NZL,11,NZL11
NZL,12,NZL12
NZL,13,NZL13
NZL,14,NZL14
NZL,15,NZL15
NZL,16,NZL16
NZL,17,NZL17
NZL,18,NZL18
NZL,19,NZL19
NZL,20,NZL20
ESP,1,ESP1
ESP,2,ESP2
ESP,3,ESP3
ESP,4,ESP4
ESP,5,ESP5
ESP,6,ESP6
ESP,7,ESP7
ESP,8,ESP8
ESP,9,ESP9
ESP,10,ESP10
ESP,11,ESP11
ESP,12,ESP12
ESP,13,ESP13
ESP,14,ESP14
ESP,15,ESP15
ESP,16,ESP16
ESP,17,ESP17
ESP,18,ESP18
ESP,19,ESP19
ESP,20,ESP20
CPV,1,CPV1
CPV,2,CPV2
CPV,3,CPV3
CPV,4,CPV4
CPV,5,CPV5
CPV,6,CPV6
CPV,7,CPV7
CPV,8,CPV8
CPV,9,CPV9
CPV,10,CPV10
CPV,11,CPV11
CPV,12,CPV12
CPV,13,CPV13
CPV,14,CPV14
CPV,15,CPV15
CPV,16,CPV16
CPV,17,CPV17
CPV,18,CPV18
CPV,19,CPV19
CPV,20,CPV20
KSA,1,KSA1
KSA,2,KSA2
KSA,3,KSA3
KSA,4,KSA4
KSA,5,KSA5
KSA,6,KSA6
KSA,7,KSA7
KSA,8,KSA8
KSA,9,KSA9
KSA,10,KSA10
KSA,11,KSA11
KSA,12,KSA12
KSA,13,KSA13
KSA,14,KSA14
KSA,15,KSA15
KSA,16,KSA16
KSA,17,KSA17
KSA,18,KSA18
KSA,19,KSA19
KSA,20,KSA20
URU,1,URU1
URU,2,URU2
URU,3,URU3
URU,4,URU4
URU,5,URU5
URU,6,URU6
URU,7,URU7
URU,8,URU8
URU,9,URU9
URU,10,URU10
URU,11,URU11
URU,12,URU12
URU,13,URU13
URU,14,URU14
URU,15,URU15
URU,16,URU16
URU,17,URU17
URU,18,URU18
URU,19,URU19
URU,20,URU20
FRA,1,FRA1
FRA,2,FRA2
FRA,3,FRA3
FRA,4,FRA4
FRA,5,FRA5
FRA,6,FRA6
FRA,7,FRA7
FRA,8,FRA8
FRA,9,FRA9
FRA,10,FRA10
FRA,11,FRA11
FRA,12,FRA12
FRA,13,FRA13
FRA,14,FRA14
FRA,15,FRA15
FRA,16,FRA16
FRA,17,FRA17
FRA,18,FRA18
FRA,19,FRA19
FRA,20,FRA20
SEN,1,SEN1
SEN,2,SEN2
SEN,3,SEN3
SEN,4,SEN4
SEN,5,SEN5
SEN,6,SEN6
SEN,7,SEN7
SEN,8,SEN8
SEN,9,SEN9
SEN,10,SEN10
SEN,11,SEN11
SEN,12,SEN12
SEN,13,SEN13
SEN,14,SEN14
SEN,15,SEN15
SEN,16,SEN16
SEN,17,SEN17
SEN,18,SEN18
SEN,19,SEN19
SEN,20,SEN20
IRQ,1,IRQ1
IRQ,2,IRQ2
IRQ,3,IRQ3
IRQ,4,IRQ4
IRQ,5,IRQ5
IRQ,6,IRQ6
IRQ,7,IRQ7
IRQ,8,IRQ8
IRQ,9,IRQ9
IRQ,10,IRQ10
IRQ,11,IRQ11
IRQ,12,IRQ12
IRQ,13,IRQ13
IRQ,14,IRQ14
IRQ,15,IRQ15
IRQ,16,IRQ16
IRQ,17,IRQ17
IRQ,18,IRQ18
IRQ,19,IRQ19
IRQ,20,IRQ20
NOR,1,NOR1
NOR,2,NOR2
NOR,3,NOR3
NOR,4,NOR4
NOR,5,NOR5
NOR,6,NOR6
NOR,7,NOR7
NOR,8,NOR8
NOR,9,NOR9
NOR,10,NOR10
NOR,11,NOR11
NOR,12,NOR12
NOR,13,NOR13
NOR,14,NOR14
NOR,15,NOR15
NOR,16,NOR16
NOR,17,NOR17
NOR,18,NOR18
NOR,19,NOR19
NOR,20,NOR20
ARG,1,ARG1
ARG,2,ARG2
ARG,3,ARG3
ARG,4,ARG4
ARG,5,ARG5
ARG,6,ARG6
ARG,7,ARG7
ARG,8,ARG8
ARG,9,ARG9
ARG,10,ARG10
ARG,11,ARG11
ARG,12,ARG12
ARG,13,ARG13
ARG,14,ARG14
ARG,15,ARG15
ARG,16,ARG16
ARG,17,ARG17
ARG,18,ARG18
ARG,19,ARG19
ARG,20,ARG20
ALG,1,ALG1
ALG,2,ALG2
ALG,3,ALG3
ALG,4,ALG4
ALG,5,ALG5
ALG,6,ALG6
ALG,7,ALG7
ALG,8,ALG8
ALG,9,ALG9
ALG,10,ALG10
ALG,11,ALG11
ALG,12,ALG12
ALG,13,ALG13
ALG,14,ALG14
ALG,15,ALG15
ALG,16,ALG16
ALG,17,ALG17
ALG,18,ALG18
ALG,19,ALG19
ALG,20,ALG20
AUT,1,AUT1
AUT,2,AUT2
AUT,3,AUT3
AUT,4,AUT4
AUT,5,AUT5
AUT,6,AUT6
AUT,7,AUT7
AUT,8,AUT8
AUT,9,AUT9
AUT,10,AUT10
AUT,11,AUT11
AUT,12,AUT12
AUT,13,AUT13
AUT,14,AUT14
AUT,15,AUT15
AUT,16,AUT16
AUT,17,AUT17
AUT,18,AUT18
AUT,19,AUT19
AUT,20,AUT20
JOR,1,JOR1
JOR,2,JOR2
JOR,3,JOR3
JOR,4,JOR4
JOR,5,JOR5
JOR,6,JOR6
JOR,7,JOR7
JOR,8,JOR8
JOR,9,JOR9
JOR,10,JOR10
JOR,11,JOR11
JOR,12,JOR12
JOR,13,JOR13
JOR,14,JOR14
JOR,15,JOR15
JOR,16,JOR16
JOR,17,JOR17
JOR,18,JOR18
JOR,19,JOR19
JOR,20,JOR20
POR,1,POR1
POR,2,POR2
POR,3,POR3
POR,4,POR4
POR,5,POR5
POR,6,POR6
POR,7,POR7
POR,8,POR8
POR,9,POR9
POR,10,POR10
POR,11,POR11
POR,12,POR12
POR,13,POR13
POR,14,POR14
POR,15,POR15
POR,16,POR16
POR,17,POR17
POR,18,POR18
POR,19,POR19
POR,20,POR20
COD,1,COD1
COD,2,COD2
COD,3,COD3
COD,4,COD4
COD,5,COD5
COD,6,COD6
COD,7,COD7
COD,8,COD8
COD,9,COD9
COD,10,COD10
COD,11,COD11
COD,12,COD12
COD,13,COD13
COD,14,COD14
COD,15,COD15
COD,16,COD16
COD,17,COD17
COD,18,COD18
COD,19,COD19
COD,20,COD20
UZB,1,UZB1
UZB,2,UZB2
UZB,3,UZB3
UZB,4,UZB4
UZB,5,UZB5
UZB,6,UZB6
UZB,7,UZB7
UZB,8,UZB8
UZB,9,UZB9
UZB,10,UZB10
UZB,11,UZB11
UZB,12,UZB12
UZB,13,UZB13
UZB,14,UZB14
UZB,15,UZB15
UZB,16,UZB16
UZB,17,UZB17
UZB,18,UZB18
UZB,19,UZB19
UZB,20,UZB20
COL,1,COL1
COL,2,COL2
COL,3,COL3
COL,4,COL4
COL,5,COL5
COL,6,COL6
COL,7,COL7
COL,8,COL8
COL,9,COL9
COL,10,COL10
COL,11,COL11
COL,12,COL12
COL,13,COL13
COL,14,COL14
COL,15,COL15
COL,16,COL16
COL,17,COL17
COL,18,COL18
COL,19,COL19
COL,20,COL20
ENG,1,ENG1
ENG,2,ENG2
ENG,3,ENG3
ENG,4,ENG4
ENG,5,ENG5
ENG,6,ENG6
ENG,7,ENG7
ENG,8,ENG8
ENG,9,ENG9
ENG,10,ENG10
ENG,11,ENG11
ENG,12,ENG12
ENG,13,ENG13
ENG,14,ENG14
ENG,15,ENG15
ENG,16,ENG16
ENG,17,ENG17
ENG,18,ENG18
ENG,19,ENG19
ENG,20,ENG20
CRO,1,CRO1
CRO,2,CRO2
CRO,3,CRO3
CRO,4,CRO4
CRO,5,CRO5
CRO,6,CRO6
CRO,7,CRO7
CRO,8,CRO8
CRO,9,CRO9
CRO,10,CRO10
CRO,11,CRO11
CRO,12,CRO12
CRO,13,CRO13
CRO,14,CRO14
CRO,15,CRO15
CRO,16,CRO16
CRO,17,CRO17
CRO,18,CRO18
CRO,19,CRO19
CRO,20,CRO20
GHA,1,GHA1
GHA,2,GHA2
GHA,3,GHA3
GHA,4,GHA4
GHA,5,GHA5
GHA,6,GHA6
GHA,7,GHA7
GHA,8,GHA8
GHA,9,GHA9
GHA,10,GHA10
GHA,11,GHA11
GHA,12,GHA12
GHA,13,GHA13
GHA,14,GHA14
GHA,15,GHA15
GHA,16,GHA16
GHA,17,GHA17
GHA,18,GHA18
GHA,19,GHA19
GHA,20,GHA20
PAN,1,PAN1
PAN,2,PAN2
PAN,3,PAN3
PAN,4,PAN4
PAN,5,PAN5
PAN,6,PAN6
PAN,7,PAN7
PAN,8,PAN8
PAN,9,PAN9
PAN,10,PAN10
PAN,11,PAN11
PAN,12,PAN12
PAN,13,PAN13
PAN,14,PAN14
PAN,15,PAN15
PAN,16,PAN16
PAN,17,PAN17
PAN,18,PAN18
PAN,19,PAN19
PAN,20,PAN20
CC,1,CC1
CC,2,CC2
CC,3,CC3
CC,4,CC4
CC,5,CC5
CC,6,CC6
CC,7,CC7
CC,8,CC8
CC,9,CC9
CC,10,CC10
CC,11,CC11
CC,12,CC12
CC,13,CC13
CC,14,CC14
